product_id,shopify_product_id,title,sku,category,brand,price,cost,inventory,avg_daily_sales,tags
1,demo_1001,Apple iPhone 15 Pro 256GB,IPHONE-15-PRO-256,Electronics,Apple,1199.0,850.0,45,3.2,"tech,smartphone,premium"
2,demo_1002,Samsung Galaxy S24 Ultra 512GB,SAMSUNG-S24-ULTRA,Electronics,Samsung,1099.0,750.0,38,2.8,"tech,smartphone,android"
3,demo_1003,Sony WH-1000XM5 Noise Cancelling Headphones,SONY-WH1000XM5,Electronics,Sony,399.0,220.0,67,4.5,"audio,headphones,wireless"
4,demo_1004,GoPro HERO12 Black Action Camera,GOPRO-HERO12,Electronics,GoPro,449.0,280.0,52,2.1,"camera,action,sports"
5,demo_1005,Dyson V15 Detect Cordless Vacuum,DYSON-V15-DETECT,Electronics,Dyson,749.0,450.0,28,1.8,"home,vacuum,premium"
6,demo_1006,Nike Air Max 270 Black,NIKE-AM270-BLK,Footwear,Nike,149.99,75.0,120,8.5,"sneakers,running,fashion"
7,demo_1007,Adidas Ultraboost 23 White,ADIDAS-UB23-WHT,Footwear,Adidas,189.99,95.0,95,7.2,"sneakers,running,comfort"
8,demo_1008,New Balance 990v5 Grey,NB-990V5-GRY,Footwear,New Balance,199.99,100.0,78,5.8,"sneakers,classic,comfort"
9,demo_1009,Nike Dunk Low Panda,NIKE-DUNK-PANDA,Footwear,Nike,119.99,60.0,45,6.3,"sneakers,streetwear,limited"
10,demo_1010,Adidas Samba OG White,ADIDAS-SAMBA-OG,Footwear,Adidas,89.99,45.0,156,9.2,"sneakers,classic,trending"
11,demo_1011,The North Face Nuptse Jacket Black,TNF-NUPTSE-BLK,Clothing,The North Face,299.99,150.0,42,3.5,"jacket,winter,outdoor"
12,demo_1012,Patagonia Better Sweater Fleece,PAT-BETTER-SWEATER,Clothing,Patagonia,99.0,50.0,88,5.4,"fleece,outdoor,sustainable"
13,demo_1013,Levi's 501 Original Fit Jeans,LEVI-501-ORIG,Clothing,Levi's,89.99,40.0,134,7.8,"jeans,classic,denim"
14,demo_1014,Canada Goose Expedition Parka Black,CG-EXPEDITION-BLK,Clothing,Canada Goose,1295.0,650.0,12,0.6,"jacket,winter,luxury"
15,demo_1015,Arc'teryx Beta AR Jacket Black,ARCT-BETA-AR-BLK,Clothing,Arc'teryx,599.0,300.0,35,2.3,"jacket,outdoor,premium"
16,demo_1016,Ray-Ban Aviator Classic Gold,RAYBAN-AVIATOR-GLD,Accessories,Ray-Ban,159.99,80.0,89,4.2,"sunglasses,classic,style"
17,demo_1017,Yeti Rambler 30oz Tumbler,YETI-RAMBLER-30,Accessories,Yeti,44.99,22.0,201,11.5,"drinkware,outdoor,popular"
18,demo_1018,Osprey Talon 22 Backpack,OSPREY-TALON-22,Accessories,Osprey,129.99,65.0,56,3.1,"backpack,hiking,outdoor"
19,demo_1019,Vitamix 5200 Blender,VITAMIX-5200,Accessories,Vitamix,449.0,250.0,31,1.5,"kitchen,blender,premium"
20,demo_1020,Apple AirPods Pro 2nd Gen,APPLE-AIRPODS-PRO2,Accessories,Apple,249.0,140.0,73,5.7,"audio,wireless,apple"
